"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Hg","Ho","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.5163,0.024,0.1441,0.1301,0.0837,0.0016,0.0562,0.0843,0.0246,0.0099,0.0037,2.02185669013648e-06,1.43775582431816e-05,0.00343,1.23e-05,4.68327365034927e-06,2.59015207789068e-06,0.00061,0.00046,0.00099,5e-06,0.000628350486467252,6.4e-05,3.13e-05,2.24e-05,0.00353459419142894,0.000229005077706948,7.2e-05,1.38493575381977e-05,5.2e-05,2.0742759986682e-07,1.2e-05,0.000274,0.000124366669225532,3.5e-06,3.63e-05,0.000173,0.000339,0.00056,8.8e-05,8.03e-05,0.000256,0.00474580283653765,2.23830870724343e-06,0.00027,2.83228997878172e-06,9e-05,0.000186180369543255,0.00413,1.12e-05,1.12e-05,2.93e-05,1.64595085775134e-06,4.5e-06,5.9e-06,0.00355,1.15570321053358e-05,0.000331,2.5e-05,0.00115965012687766,0.00198
"2",0.52,0.0242,0.139,0.133,0.0840303473617424,0.0019,0.0564,0.0876,0.0251,0.0101,0.0032,2.02185669013648e-06,1.41e-05,0.00368,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,0.000603261862307032,0.00041,0.00109,6.80599612431282e-06,0.000644,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.000229005077706948,7.3831146523834e-05,1.38493575381977e-05,5.25056220724863e-05,2.0742759986682e-07,1.21928865085466e-05,0.000300911001331494,0.000124366669225532,3.77333786093875e-06,2.48e-05,0.00018434492192161,0.000333643895292546,0.000522,0.000139,8.59952978907373e-05,0.000251651766518003,0.00474580283653765,2.23830870724343e-06,0.000276032102029644,5.9e-06,8.57239956381675e-05,0.000161,0.00376,1.27935273776159e-05,1.11677464333485e-05,4e-05,1.64595085775134e-06,4.35335597628127e-06,4.2e-06,0.00395,1.15570321053358e-05,0.000280786061668253,2.50693612395925e-05,0.00145,0.00199925603887529
"3",0.51575,0.02414,0.139,0.13537,0.0837,0.00175,0.05463,0.09197,0.02042,0.00999,0.00293,2.02185669013648e-06,1.43775582431816e-05,0.0023,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,0.00077,0.000432819711335407,0.00091,6.80599612431282e-06,0.000628350486467252,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.00022,7.3831146523834e-05,1.38493575381977e-05,5.25056220724863e-05,2.0742759986682e-07,1.21928865085466e-05,0.00023,0.000124366669225532,3.77333786093875e-06,3e-05,0.00015,0.00039,0.000520198022681758,0.00014,8.59952978907373e-05,0.00026,0.00474580283653765,2.23830870724343e-06,0.00028,2.83228997878172e-06,8.57239956381675e-05,0.000186180369543255,0.00407,1.27935273776159e-05,1.11677464333485e-05,2.98355664413901e-05,1.64595085775134e-06,4.35335597628127e-06,3e-05,0.00361,1.15570321053358e-05,0.00032,2.50693612395925e-05,0.00109,0.00195
"4",0.51213,0.02427,0.13758,0.13409,0.0840303473617424,0.00173,0.0557,0.09046,0.02512,0.01015,0.00309,2.02185669013648e-06,1.43775582431816e-05,0.003416,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,0.000574,0.000432819711335407,0.001009,6.80599612431282e-06,0.000636,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.000242,7.3831146523834e-05,1.38493575381977e-05,5.25056220724863e-05,2.0742759986682e-07,1.21928865085466e-05,0.000258,0.000124366669225532,3.77333786093875e-06,3.04110568350649e-05,0.000172,0.000333643895292546,0.000559,0.000115,8.59952978907373e-05,0.000275,0.00474580283653765,2.23830870724343e-06,0.000324,2.83228997878172e-06,8.57239956381675e-05,0.000186180369543255,0.004199,1.27935273776159e-05,1.11677464333485e-05,2.7e-05,1.64595085775134e-06,4.35335597628127e-06,7.6356231063075e-06,0.003676,1.15570321053358e-05,0.000339,2.50693612395925e-05,0.001126,0.002055
"5",0.5109,0.0249,0.1382,0.1343,0.0840303473617424,0.00173,0.0554,0.089,0.0248,0.0098,0.00296,2.02185669013648e-06,1.43775582431816e-05,0.00342,1.12489264001526e-05,1e-04,2.59015207789068e-06,0.00069,0.00044,0.00034,6e-05,0.00056,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.0058,0.00023,7.3831146523834e-05,1.2e-05,5.1e-05,4e-06,1.21928865085466e-05,0.00041,0.000124366669225532,3.77333786093875e-06,3e-05,0.00021,0.00034,6e-04,0.00014,8e-05,0.00029,0.0028,2.23830870724343e-06,0.00025,3e-05,6e-05,0.00019,0.00427,1.27935273776159e-05,1.11677464333485e-05,3.6e-05,1.64595085775134e-06,4.35335597628127e-06,7.6356231063075e-06,0.00344,1.15570321053358e-05,0.00035,2.50693612395925e-05,0.00114,0.00223
"6",0.4941,0.0226,0.138,0.1294,0.0840303473617424,0.0016,0.0551,0.0939,0.0167,0.0098,0.0041,2.02185669013648e-06,0.00024,0.00355,1e-05,0.00019,7e-06,0.000603261862307032,0.00055,0.00061,6.80599612431282e-06,0.00076,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.000229005077706948,7.3831146523834e-05,1.38493575381977e-05,5.25056220724863e-05,2.0742759986682e-07,1.21928865085466e-05,0.000300911001331494,0.000124366669225532,3.77333786093875e-06,6e-05,0.00064,0.000333643895292546,0.00032,0.00065,8.59952978907373e-05,0.000251651766518003,0.03,2.23830870724343e-06,0.000276032102029644,2.83228997878172e-06,8.57239956381675e-05,0.000186180369543255,0.00358,1.27935273776159e-05,1.11677464333485e-05,2.98355664413901e-05,1.64595085775134e-06,4.35335597628127e-06,7.6356231063075e-06,0.00308,1.15570321053358e-05,0.00018,2.50693612395925e-05,0.0011,0.00199925603887529
"7",0.514,0.0218,0.1392,0.1313,0.0840303473617424,0.0017,0.0559,0.0898,0.0258,0.0101,0.0029,2.02185669013648e-06,1.43775582431816e-05,0.00355,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,0.00056,0.00051,0.00091,6.80599612431282e-06,0.00074,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.00024,7.3831146523834e-05,1.38493575381977e-05,5.25056220724863e-05,2.0742759986682e-07,1.21928865085466e-05,0.00028,0.000124366669225532,3.77333786093875e-06,3.04110568350649e-05,0.00017,0.00032,0.00054,0.00015,8.59952978907373e-05,0.00026,0.00474580283653765,2.23830870724343e-06,0.00029,2.83228997878172e-06,8.57239956381675e-05,0.000186180369543255,0.00393,1.27935273776159e-05,1.11677464333485e-05,3e-05,1.64595085775134e-06,4.35335597628127e-06,1e-05,0.00344,1.15570321053358e-05,0.00031,2.50693612395925e-05,0.00107,0.00193
"8",0.4964,0.0247,0.1379,0.133,0.0840303473617424,0.0016,0.0555,0.0969,0.0265,0.0102,0.0027,3.03e-05,1.43775582431816e-05,0.00426,1.18e-05,5e-07,3.2e-06,0.000649,0.000485,0.000894,4.5e-06,0.000627,6.92e-05,3.46e-05,2.42e-05,0.00353459419142894,0.000242,7.97e-05,1.38493575381977e-05,6.05e-05,2.0742759986682e-07,1.3e-05,0.000284,0.000158,4.1e-06,3.54e-05,0.00018,0.000347,0.000522,0.000164,8.18e-05,0.000249,0.00207,1.2e-06,0.000194,4.09e-05,9.67e-05,0.000199,0.00409,1.78e-05,1.2e-05,3.71e-05,1.9e-06,4.6e-06,5e-06,0.00313,6.27e-05,0.000394,2.96e-05,0.0012,0.0021
"9",0.511,0.0248,0.137,0.13,0.0840303473617424,0.0017,0.0589,0.09,0.025,0.01,0.0029,2.02185669013648e-06,1.43775582431816e-05,0.00326,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,0.000575,0.00045,9e-04,2e-06,0.00062,5.8e-05,2.8e-05,2.2e-05,0.00353459419142894,0.000229005077706948,6.4e-05,1.38493575381977e-05,5e-05,2.0742759986682e-07,1.19e-05,0.000265,0.000124366669225532,3.5e-06,2e-05,0.00015,0.000323,0.00052,0.00013,7.55e-05,0.00025,0.00474580283653765,1e-06,0.00028,2.83228997878172e-06,8.4e-05,0.00015,0.00393,1.1e-05,1.07e-05,3e-05,1.64595085775134e-06,4.4e-06,6e-06,0.0034,1.5e-05,0.000295,2.4e-05,0.0012,0.00196
"10",0.514,0.0248,0.14,0.134,0.086,0.0017,0.057,0.0916,0.024,0.0101,0.003,1.6e-06,1.43775582431816e-05,0.0034,9e-06,4.68327365034927e-06,2.59015207789068e-06,0.00062,0.00062,0.0011,5.2e-06,0.00064,6.3e-05,3.1e-05,2.3e-05,0.00353459419142894,0.00023,7.9e-05,1.38493575381977e-05,5.3e-05,2.0742759986682e-07,1.2e-05,0.00028,0.000124366669225532,3.9e-06,3.6e-05,0.00019,0.00035,0.00056,0.00013,8.1e-05,0.00027,0.00474580283653765,2.23830870724343e-06,0.00028,2.83228997878172e-06,9e-05,0.00019,0.00397,1.2e-05,1.2e-05,3.2e-05,1.7e-06,4.5e-06,6.6e-06,0.0035,1.15570321053358e-05,0.00034,2.8e-05,0.0011,0.00213
"11",0.5138,0.0242,0.1382,0.1328,0.0849,0.00179,0.0558,0.0905,0.0243,0.01,0.0031,2.02185669013648e-06,1.43775582431816e-05,0.00316,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,0.000603261862307032,0.00046,0.00094,6.80599612431282e-06,0.000628350486467252,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.00024,7.3831146523834e-05,1.38493575381977e-05,5.25056220724863e-05,2.0742759986682e-07,1.21928865085466e-05,0.00036,0.000124366669225532,3.77333786093875e-06,3.04110568350649e-05,0.00017,0.00037,5e-04,0.00015,8.59952978907373e-05,0.00027,0.00474580283653765,2.23830870724343e-06,0.000276032102029644,2.83228997878172e-06,8.57239956381675e-05,0.000186180369543255,0.004,1.27935273776159e-05,1.11677464333485e-05,2.98355664413901e-05,1.64595085775134e-06,4.35335597628127e-06,7.6356231063075e-06,0.00334,1.15570321053358e-05,0.00027,2.50693612395925e-05,0.00115,0.00199
"12",0.513,0.0236,0.137,0.131,0.0840303473617424,0.0017,0.0534,0.089,0.025,0.0096,0.003,2.02185669013648e-06,1.3e-05,0.00338,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,0.00055,0.00038,0.00085,6.80599612431282e-06,0.00073,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.00021,7.3831146523834e-05,1.38493575381977e-05,4.5e-05,2.0742759986682e-07,1.21928865085466e-05,0.00034,0.00014,3.77333786093875e-06,2.2e-05,0.00017,0.00038,0.00053,0.00013,8.59952978907373e-05,0.00022,0.00474580283653765,2.23830870724343e-06,0.000276032102029644,2.83228997878172e-06,8.57239956381675e-05,0.000186180369543255,0.00423,1.27935273776159e-05,1.11677464333485e-05,3.8e-05,1.64595085775134e-06,4.35335597628127e-06,7.6356231063075e-06,0.00308,3.4e-05,0.00033,2.50693612395925e-05,0.0011,0.00204
"13",0.5061,0.024,0.1368,0.1303,0.0840303473617424,0.00175,0.0535,0.0886,0.0197,0.0098,0.003,2.02185669013648e-06,1.43775582431816e-05,0.0035,1.12489264001526e-05,4.68327365034927e-06,2.59015207789068e-06,8e-04,0.00047,0.001,6.80599612431282e-06,0.00056,5.95497575874067e-05,3.12262689784394e-05,2.23941566807467e-05,0.00353459419142894,0.00022,7.3831146523834e-05,1.38493575381977e-05,5e-05,2.0742759986682e-07,1.21928865085466e-05,0.0016,0.000124366669225532,3.77333786093875e-06,3.04110568350649e-05,0.00017,0.00035,0.00056,0.00018,0.00028,0.00025,0.00474580283653765,2.23830870724343e-06,3e-04,2.83228997878172e-06,7e-05,0.000186180369543255,0.0041,1.27935273776159e-05,1.11677464333485e-05,2.98355664413901e-05,1.64595085775134e-06,4.35335597628127e-06,7.6356231063075e-06,0.0034,1.15570321053358e-05,3e-04,2.50693612395925e-05,0.0011,0.00215
"14",0.519,0.0246,0.139,0.134,0.0840303473617424,0.0017,0.057,0.091,0.0254,0.01,0.003,2.02185669013648e-06,1.43775582431816e-05,0.0035,9.7e-06,4.68327365034927e-06,3e-06,0.00067,0.00046,0.00088,6.80599612431282e-06,0.00074,7e-05,4e-05,3e-05,0.009,0.00023,7.3831146523834e-05,1.38493575381977e-05,6e-05,2.0742759986682e-07,1.3e-05,3e-04,0.000124366669225532,4.3e-06,3.5e-05,0.00019,0.00037,0.00051,0.000145018668604354,8.6e-05,0.00027,0.006,1e-06,3e-04,2.83228997878172e-06,9.9e-05,0.00016,0.00416,1e-05,1.11677464333485e-05,2.98355664413901e-05,1.5e-06,4.6e-06,7e-06,0.0035,6e-06,0.00032,3e-05,0.0011,0.0018
