"","SiO2","TiO2","Al2O3","Fe2O3T","Fe(II)O","MnO","MgO","CaO","Na2O","K2O","P2O5","Ag","As","Ba","Be","Bi","Cd","Ce","Cl","Co","Cr","Cs","Cu","Dy","Er","Eu","F","Ga","Gd","Ge","Hf","Ho","In","La","Li","Lu","Mo","Nb","Nd","Ni","Pb","Pr","Rb","S","Sb","Sc","Se","Sm","Sn","Sr","Ta","Tb","Te","Th","Tl","Tm","U","V","W","Y","Yb","Zn","Zr"
"1",0.49882,0.02472,0.13688,0.13117,0.081890341147972,0.00168,0.05455,0.09214,0.02386,0.00983,0.00295,3.19209069952894e-06,0,0.003294,1e-05,4.3794834734609e-07,2.36060917214653e-06,0.0005852,0.00131366910737683,0.000437,0.000888,5.86610728760232e-06,0.000591,6.09e-05,3.03e-05,2.23e-05,0.0052807289020985,0.000224,6.13e-05,1.71600210736816e-05,4.87e-05,1.16e-05,1.28709473488108e-06,0.000251,0.000130542624377214,3.5e-06,2.77e-05,0.0001588,0.0003228,0.000527,0.0001352,7.51e-05,0.0002474,0.0024612406905419,2.28888667339951e-06,0.000275,1.40123736982278e-05,8.38e-05,0.0001949,0.0040218,1.02e-05,9.4e-06,1.84022223585045e-06,2.88e-05,1.76457826436166e-06,4e-06,5.8e-06,0.003317,9.22196742634029e-06,0.0002614,2.57e-05,0.0011,0.001876
"2",0.5048,0.0228,0.1402,0.1266,0.081890341147972,0.0016,0.0636,0.0886,0.0247,0.0088,0.0035,3.19209069952894e-06,1e-05,0.00391,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.00051,0.00072,0.00045,0.00069,2e-05,0.00087,6.11803303105452e-05,3.08355923958225e-05,2.24540040939752e-05,0.0052807289020985,0.00022,7.25854709934057e-05,1.71600210736816e-05,3e-05,1.17290085744213e-05,1.28709473488108e-06,0.00024,0.000130542624377214,3.67014531580639e-06,3.35293828725963e-05,0.00022,0.00033,0.000524217925173229,0.00014,7.56892190503941e-05,0.00032,0.00376,2.28888667339951e-06,3e-04,1.40123736982278e-05,9.07392662827571e-05,0.00013,0.00409,0.00017,1.11212421431204e-05,1.84022223585045e-06,1e-04,1.76457826436166e-06,4.13433546970038e-06,3e-05,0.00217,9.22196742634029e-06,0.00033,2.52293384313724e-05,0.0011,0.00211
"3",0.5057,0.0247,0.137,0.1294,0.081890341147972,0.0018,0.0543,0.089,0.0243,0.0098,0.0031,3.19209069952894e-06,0,0.00346,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.00053,0.00131366910737683,0.00048,0.00082,5.86610728760232e-06,0.00062,5e-05,2.3e-05,2.1e-05,0.0052807289020985,0.000219766091202465,6e-05,1.71600210736816e-05,4.95263020648418e-05,1e-05,1.28709473488108e-06,0.00025,0.00015,3e-06,3.35293828725963e-05,0.00015,0.00027,5e-04,0.00014,6e-05,0.00024,0.0024612406905419,2.28888667339951e-06,0.00023,1.40123736982278e-05,7e-05,0.000177009969382928,0.00409,1.36301550335424e-05,1e-05,1.84022223585045e-06,3.3972995067174e-05,1.76457826436166e-06,3e-06,2e-05,0.0033,9.22196742634029e-06,0.00028,2e-05,0.00107,0.00202
"4",0.4121,0.0267,0.1691,0.1587,0.081890341147972,0.0021,0.0791,0.1101,0.0023,0.0145,0.005,3.19209069952894e-06,0.00072,0.00294,8.1e-06,4.3794834734609e-07,2.5e-06,0.000487,0.00131366910737683,0.000374,0.000815,5.86610728760232e-06,0.000565,5.06e-05,2.6e-05,1.8e-05,0.0052807289020985,0.000219766091202465,6e-05,1.71600210736816e-05,4.95263020648418e-05,1.17290085744213e-05,1.28709473488108e-06,0.000225,5e-05,3e-06,3e-05,0.00016927928967193,0.000273,0.0004219,8e-05,6.16e-05,0.000253914025576702,1.5e-06,1.3e-06,0.0002216,0.0005933,7.21e-05,0.0001164,0.00445,1.36301550335424e-05,8.9e-06,1.84022223585045e-06,9.13e-05,1.76457826436166e-06,3.4e-06,7.87709246331074e-06,0.003,9.22196742634029e-06,0.000231,2.14e-05,0.00137,0.00198894847850945
"5",0.5208,0.021,0.129,0.1266,0.081890341147972,0.0017,0.0655,0.085,0.0228,0.0097,0.003,3.19209069952894e-06,0,0.0037,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.0005718,0.00131366910737683,1e-05,0.00128,6.2e-06,0.00068,5.92e-05,2.75e-05,2.08e-05,0.0052807289020985,0.000287,6.88e-05,4.04e-05,5.95e-05,1.09e-05,1.28709473488108e-06,0.0002422,0.000130542624377214,3.6e-06,3.35293828725963e-05,0.00018,0.0002958,0.00038,0.00012,7.08e-05,0.00025,0.0024612406905419,2.28888667339951e-06,0.00014,1.40123736982278e-05,8.06e-05,0.000177009969382928,0.004,1.48e-05,1.05e-05,1.84022223585045e-06,2.63e-05,1.76457826436166e-06,4e-06,4.9e-06,0.0031,9.22196742634029e-06,0.00027,2.41e-05,0.00127,0.00201
"6",0.511,0.0239,0.1365,0.134,0.0794,0.0017,0.0556,0.0899,0.0247,0.0098,0.0029,3.19209069952894e-06,9.1e-06,0.00353,1e-05,4.3794834734609e-07,9.8e-07,0.000614,0.00131366910737683,0.000453,0.00082,4.9e-06,0.00066,6.36e-05,3.15e-05,2.22e-05,0.0052807289020985,0.000239,7.2e-05,1.71600210736816e-05,4.96e-05,1.18e-05,9.8e-07,0.000276,0.000152,3.6e-06,3.5e-05,0.000168,0.000336,0.000579,0.000137,8.14e-05,0.000256,0.0024612406905419,2.28888667339951e-06,0.000288,1.40123736982278e-05,9.19e-05,0.000182,0.00421,1.14e-05,1.03e-05,1.84022223585045e-06,3.09e-05,1.53e-06,4.1e-06,6.7e-06,0.00353,4.88e-06,0.000291,2.55e-05,0.00119,0.00206
"7",0.5113,0.0242,0.1377,0.1344,0.07,0.0018,0.0559,0.091,0.0233,0.0099,0.003,3.19209069952894e-06,0,0.00331,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.000595261214198899,0.00131366910737683,0.00039,0.00098,5.86610728760232e-06,7e-04,6.11803303105452e-05,3.08355923958225e-05,2.24540040939752e-05,0.0052807289020985,0.00017,7.25854709934057e-05,1.71600210736816e-05,5e-05,1.17290085744213e-05,1.28709473488108e-06,0.00028339895457814,0.000130542624377214,3.67014531580639e-06,3.35293828725963e-05,0.00016,0.000331013782099862,0.00115,0.00011,7.56892190503941e-05,0.00026,0.00357,2.28888667339951e-06,0.00026,1.40123736982278e-05,9.07392662827571e-05,0.000177009969382928,0.00407,1.36301550335424e-05,1.11212421431204e-05,1.84022223585045e-06,3.3972995067174e-05,1.76457826436166e-06,4.13433546970038e-06,7.87709246331074e-06,0.00343,9.22196742634029e-06,0.00029,2.52293384313724e-05,0.00116,0.00203
"8",0.4841,0.0235,0.1324,0.1301,0.081890341147972,0.00168,0.0569,0.0904,0.0233,0.0099,0.0029,3.19209069952894e-06,0,0.00334,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.00037,0.00131366910737683,0.00035,8e-04,5.86610728760232e-06,0.00056,6.11803303105452e-05,3.08355923958225e-05,2.24540040939752e-05,0.0052807289020985,0.00016,7.25854709934057e-05,1.71600210736816e-05,4.95263020648418e-05,1.17290085744213e-05,1.28709473488108e-06,0.00028339895457814,0.000130542624377214,3.67014531580639e-06,3.35293828725963e-05,0.00017,0.000331013782099862,0.00048,0.00024,7.56892190503941e-05,0.00023,0.004,2.28888667339951e-06,0.000266977542165582,1.40123736982278e-05,9.07392662827571e-05,0.000177009969382928,0.00398,1.36301550335424e-05,1.11212421431204e-05,1.84022223585045e-06,3.3972995067174e-05,1.76457826436166e-06,4.13433546970038e-06,7.87709246331074e-06,0.00346,9.22196742634029e-06,0.00027,2.52293384313724e-05,0.00112,0.00208
"9",0.5096,0.024,0.136,0.133,0.078,0.00169,0.0568,0.0905,0.0247,0.0102,0.0031,3.19209069952894e-06,0,0.00339,1.12e-05,4.3794834734609e-07,2.36060917214653e-06,0.000606,0.00131366910737683,0.00043,0.00095,5.86610728760232e-06,6e-04,6.11803303105452e-05,3.08355923958225e-05,2.02e-05,0.0052807289020985,0.000219766091202465,7.25854709934057e-05,1.71600210736816e-05,5.33e-05,1.17290085744213e-05,1.28709473488108e-06,0.000275,0.000138,3.67014531580639e-06,3.35293828725963e-05,0.000175,0.000351,0.00052,0.00014,7.56892190503941e-05,0.000244,0.006,2.28888667339951e-06,0.000266977542165582,1.40123736982278e-05,9.07392662827571e-05,0.00018,0.00395,1.36301550335424e-05,1.11212421431204e-05,1.84022223585045e-06,3.3972995067174e-05,1.76457826436166e-06,4.13433546970038e-06,7.87709246331074e-06,0.00333,9.22196742634029e-06,0.000305,2.52293384313724e-05,0.00108,0.00196
"10",0.5098,0.0243,0.1373,0.1327,0.081890341147972,0.0017,0.0552,0.0877,0.0234,0.0101,0.0029,3.19209069952894e-06,0,0.00341,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.000595261214198899,0.00131366910737683,0.00043,0.00087,5.86610728760232e-06,0.00064,6.11803303105452e-05,3.08355923958225e-05,2.24540040939752e-05,0.0052807289020985,2e-04,7.25854709934057e-05,1.71600210736816e-05,4.95263020648418e-05,1.17290085744213e-05,1.28709473488108e-06,0.00028339895457814,0.000130542624377214,3.67014531580639e-06,3.35293828725963e-05,0.00016,0.000331013782099862,0.00052,0.00014,7.56892190503941e-05,0.00025,0.0024612406905419,2.28888667339951e-06,0.00026,1.40123736982278e-05,9.07392662827571e-05,0.00021,0.00394,1.36301550335424e-05,1.11212421431204e-05,1.84022223585045e-06,3.3972995067174e-05,1.76457826436166e-06,4.13433546970038e-06,7.87709246331074e-06,0.00316,9.22196742634029e-06,3e-04,2.52293384313724e-05,0.00102,0.00204
"11",0.51055,0.02407,0.13696,0.13201,0.081890341147972,0.00172,0.05584,0.0897,0.02393,0.00985,0.00297,3.19209069952894e-06,0,0.003313,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.000595261214198899,0.00131366910737683,0.000446,0.000908,5.86610728760232e-06,0.000629,6.11803303105452e-05,3.08355923958225e-05,2.24540040939752e-05,0.0052807289020985,0.000222,7.25854709934057e-05,1.71600210736816e-05,4.95263020648418e-05,1.17290085744213e-05,1.28709473488108e-06,0.00028339895457814,0.000130542624377214,3.67014531580639e-06,3.35293828725963e-05,0.000177,0.000331013782099862,0.000526,0.000171,7.56892190503941e-05,0.000259,0.0024612406905419,2.28888667339951e-06,0.000266977542165582,1.40123736982278e-05,9.07392662827571e-05,0.000177009969382928,0.004013,1.36301550335424e-05,1.11212421431204e-05,1.84022223585045e-06,3.3972995067174e-05,1.76457826436166e-06,4.13433546970038e-06,7.87709246331074e-06,0.003369,9.22196742634029e-06,0.000317,2.52293384313724e-05,0.00113,0.001942
"12",0.5138,0.0241,0.136,0.1326,0.081890341147972,0.0017,0.0539,0.0899,0.0228,0.0106,0.0033,3.19209069952894e-06,0,0.0039,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.000595261214198899,0.00131366910737683,4e-04,0.00125,5.86610728760232e-06,0.00069,6.11803303105452e-05,3.08355923958225e-05,2.24540040939752e-05,0.0052807289020985,0.00021,7.25854709934057e-05,1.71600210736816e-05,4.95263020648418e-05,1.17290085744213e-05,1.28709473488108e-06,0.00028339895457814,0.000130542624377214,3.67014531580639e-06,3.35293828725963e-05,0.00017,0.000331013782099862,0.00054,0.00014,7.56892190503941e-05,0.00029,0.0024612406905419,2.28888667339951e-06,0.00026,1.40123736982278e-05,9.07392662827571e-05,0.000177009969382928,0.00392,1.36301550335424e-05,1.11212421431204e-05,1.84022223585045e-06,3.3972995067174e-05,1.76457826436166e-06,4.13433546970038e-06,7.87709246331074e-06,0.0036,9.22196742634029e-06,0.00032,2.52293384313724e-05,0.00117,0.00243
"13",0.5058,0.0234,0.1419,0.1301,0.081890341147972,0.00168,0.05653,0.09022,0.02482,0.00982,0.00304,3.19209069952894e-06,0,0.003375,1.2e-05,4.3794834734609e-07,2.36060917214653e-06,0.0005988,0.00131366910737683,0.000443,0.000932,4.81e-06,0.0006614,6.09e-05,3.036e-05,2.16e-05,0.0052807289020985,0.0003434,7.16e-05,1.71600210736816e-05,5.2e-05,1.163e-05,1.28709473488108e-06,0.0002688,0.000141,3.5e-06,3.98e-05,0.00016927928967193,0.0003255,0.0005276,0.0001639,7.78e-05,0.000261,0.0024612406905419,2.28888667339951e-06,0.000276,1.40123736982278e-05,8.51e-05,0.000177009969382928,0.004034,9.8e-06,1.067e-05,1.84022223585045e-06,3.06e-05,1.76457826436166e-06,4.13433546970038e-06,6.3e-06,0.003241,9.22196742634029e-06,0.0003131,2.51e-05,0.001226,0.002092
"14",0.5136,0.0243,0.1362,0.1315,0.081890341147972,0.0017,0.0564,0.0895,0.0229,0.01,0.0029,3.19209069952894e-06,0,0.00336,1.09e-05,4.3794834734609e-07,2.36060917214653e-06,0.000585,0.00131366910737683,0.000449,0.000868,4.8e-06,0.000645,6.14e-05,3.12e-05,2.2e-05,0.0052807289020985,0.00023,6.98e-05,1.71600210736816e-05,5.37e-05,1.18e-05,1.28709473488108e-06,0.000278,0.000130542624377214,4e-06,3.35293828725963e-05,0.000133,0.000339,0.000501,0.000161,8.16e-05,0.000254,0.0024612406905419,2.28888667339951e-06,0.000286,1.40123736982278e-05,8.87e-05,0.000177009969382928,0.00402,7.6e-06,1.12e-05,1.84022223585045e-06,3.14e-05,1.76457826436166e-06,4.6e-06,6.6e-06,0.00347,9.22196742634029e-06,0.000299,2.7e-05,0.00117,0.00199
"15",0.506108057279728,0.0281,0.137208633600754,0.143,0.081890341147972,0.00169683156835871,0.0587,0.0909,0.026,0.0115,0.00312222800264227,3.19209069952894e-06,0,0.00344,1.03350047388189e-05,4.3794834734609e-07,2.36060917214653e-06,0.000572,0.00131366910737683,0.000492,0.000907,5.86610728760232e-06,0.000657,6.2e-05,2.93e-05,2.21e-05,0.0052807289020985,0.000219766091202465,7.4e-05,1.71600210736816e-05,4.95263020648418e-05,1.09e-05,1.28709473488108e-06,0.000249,0.000144,3.4e-06,3.35293828725963e-05,0.00016927928967193,0.000318,0.000543,0.0001501,7.39e-05,0.000253914025576702,0.0024612406905419,2.28888667339951e-06,0.000266977542165582,1.40123736982278e-05,8.95e-05,0.000177009969382928,0.00399,1.36301550335424e-05,1.04e-05,1.84022223585045e-06,2.95e-05,1.76457826436166e-06,4e-06,6.5e-06,0.00356,9.22196742634029e-06,0.000271,2.38e-05,0.00125,0.00198894847850945
"16",0.5078,0.0249,0.133,0.1358,0.081890341147972,0.00165,0.0579,0.094,0.0253,0.0102,0.00303,6.5e-05,0,0.003523,1.03350047388189e-05,4.3794834734609e-07,8.1e-05,0.00066,0.00131366910737683,0.000481,0.000858,2.7e-05,0.000589,6.11803303105452e-05,3.08355923958225e-05,2.24540040939752e-05,0.0052807289020985,0.000216,7.25854709934057e-05,1.71600210736816e-05,3.5e-05,1.17290085744213e-05,1.28709473488108e-06,0.000332,0.000130542624377214,3.67014531580639e-06,2.9e-05,0.00015,0.000314,0.000462,9.8e-05,7.56892190503941e-05,0.000246,0.0062,2.28888667339951e-06,0.000237,1.40123736982278e-05,7.1e-05,0.000181,0.003817,1.36301550335424e-05,1.11212421431204e-05,2.1e-05,2.7e-05,1.76457826436166e-06,4.13433546970038e-06,2.5e-05,0.002767,1.3e-05,0.000286,1.3e-05,0.001061,0.001922
